modelo,tipo,accuracy,precision,recall,f1_score,roc_auc
LogisticRegression_Optimizada,Optimizado,0.567,0.3634538152610442,0.6094276094276094,0.45534591194968554,0.5851066377382167
RandomForest_Optimizado,Optimizado,0.587,0.37280701754385964,0.5723905723905723,0.45152722443559096,0.599192493929336
DecisionTree_Base,Base,0.654,0.34591194968553457,0.18518518518518517,0.2412280701754386,0.5357654305022727
RandomForest_Base,Base,0.7,0.4634146341463415,0.06397306397306397,0.11242603550295859,0.5895177474124842
LogisticRegression_Base,Base,0.703,0.0,0.0,0.0,0.5843738475317423
